id,producto,precio,descripcion
274,Funda Para Laptop,$220.00,"Tecnología, Protección, Portátil, Elegante, Computadora, Laptop, Dispositivo Electronico"
275,Set De Pinceles,$135.00,"Arte, Organización, Pintura, Completa, Creatividad, Escolar"
276,Teclado Mecánico Gamer,$650.00,"Tecnología, Gamer, Iluminacion, Ergonómico, Rgb, Computadora, Videojuego, Dispositivo Electronico"
277,Bolso De Mano,$350.00,"Accesorio, Moda, Cuero, Elegante, Mujer, Ropa"
278,Alfombrilla Para Ratón Gamer,$160.00,"Tecnología, Gamer, Rgb, Mouse, Computadora, Resistente, Comodo"
279,Mouse Gamer,$370.00,"Tecnología, Gamer, Rgb, Mouse, Computadora, Laptop, Videojuego, Accesorio"
280,Lampara Led Usb,$70.00,"Tecnología, Iluminación, Portátil, Led, Rgb"
281,Funda Impermeable Para Celular,$140.00,"Protección, Impermeable, Transparente, Lluvia, Celular, Iphone"
282,Botas Para Lluvia,$250.00,"Resistente, Proteccion, Calzado, Comodo, Ropa"
283,Altavoz Bluetooth,$230.00,"Tecnología, Música, Portátil, Inalámbrico, Bluetooth, Altavoz, Dispositivo Electronico"
284,Espinilleras Para Fútbol,$300.00,"Deportivo, Fútbol, Protección, Ajustable, Comodo"
285,Bolsa Deportiva Resistente Al Agua,$170.00,"Deportivo, Viaje, Impermeable, Portátil, Resistente, Accesorio, Gimnasio, Lluvia, Almacenamiento"
286,Soporte Ajustable Para Celular,$90.00,"Tecnología, Soporte, Ajustable, Portátil, Dispositivo Electronico, Celular, Comodo"
287,Linterna Led Recargable,$185.00,"Tecnología, Iluminación, Recargable, Portátil, Led"
288,Estuche Para Lentes,$90.00,"Accesorio, Protección, Lentes, Portátil, Almacenamiento"
289,Red Bull,$30.00,"Bebida, Energetico, Dulce, Deportivo, Gimnasio, Lata"
290,Mochila Escolar,$150.00,"Útil, Escolar, Almacenamiento, Moda"
291,Mini Banco Plegable,$100.00,"Mueble, Portátil, Exterior, Descanso"
292,Set Desarmadores Reparacion,$85.00,"Herramientas, Organización, Portátil"
293,Cosmetiquera,$50.00,"Almacenar, Transportar, Maquillaje, Transparente"
294,Lámpara De Escritorio,$90.00,"Iluminación, Estudio, Ajustable, Moderna"
295,Cinturón De Cuero,$50.00,"Accesorio, Moda, Duradero, Ajustable"
296,Set De Tazas De Café Navidad,$200.00,"Vajilla, Café, Juego, Cerámica, Navidad"
297,Bolsa Térmica,$120.00,"Comida, Viaje, Térmica, Portátil"
298,Imitacion Camara Antigua,$120.00,"Fotografía, Divertido, Analógico, Recuerdos"
299,Termómetro Digital,$100.00,"Salud, Medición, Digital, Preciso"
300,Pastillero Semanal,$35.00,"Medicina, Portatil, Organizar, Enfermedad."
301,Semillas De Plantas,$50.00,"Jardín, Plantas, Ecologia"
302,Plantas Suculentas,$60.00,"Decoración, Plantas, Fáciles De Cuidar"
303,Juego De Platos De Cerámica,$200.00,"Vajilla, Cerámica, Elegante, Duradero"
304,Cojin Con Imagen,$70.00,"Hogar, Decoración, Suave, Diseño"
305,Set De Cubiertos Portatiles De Plastico,$100.00,"Vajilla, Duradero, Plastico, Lunch, Comer"
306,Estuche Para Maquillaje,$50.00,"Belleza, Maquillaje, Organización, Elegante"
307,Mini Báscula Digital,$120.00,"Pesaje, Medición, Digital, Precision"
308,Juego De Cuchillos De Cocina Navideños,$200.00,"Cocina, Corte, Duradero, Afilado"
309,Organizador De Zapatos Colgante,$80.00,"Organización, Zapatos, Colgante, Práctico"
310,Bolsa De Dormir Ligera,$120.00,"Camping, Dormir, Ligera, Portátil"
311,Portatarjetas De Crédito Rfid,$50.00,"Accesorio, Seguridad, Tarjetas, Delgado."
312,Organizador De Cables Magnético,$30.00,"Tecnología, Organización, Imanes, Práctico."
313,Rompecabezas 3D,$120.00,"Juguete, Entretenimiento, Creatividad, Desafiante, 3D."
314,Botiquín De Primeros Auxilios,$70.00,"Salud, Emergencia, Portátil, Completo."
315,Cepillo Facial Eléctrico,$150.00,"Belleza, Cuidado Facial, Limpieza, Recargable."
316,Set De Utensilios De Cocina De Silicona,$85.00,"Cocina, Utensilios, Colorido."
317,Mini Bote De Basura,$35.00,"Deshechos, Util, Hogar."
318,Mica Para Nintendo Switch,$55.00,"Proteccion, Videojuego, Resistente."
319,Cargador Solar,$200.00,"Bateria, Portatil, Solar, Portatil."
320,Organizador De Anillos,$140.00,"Joyería, Organización, Colgante, Práctico."
321,Set De Herramientas Para Desarmar Reloj,$200.00,"Herramientas, Relojes, Completo, Duradero."
322,Espejo De Aumento Con Luz,$80.00,"Belleza, Maquillaje, Iluminado, Portátil."
323,Caja De Almacenamiento De Maquillaje,$120.00,"Belleza, Maquillaje, Organización, Transparente."
324,Rompecabezas,$200.00,"Juguete, Entretenimiento, Creatividad, Desafiante, Divertido"
325,Cámara De Seguridad Wifi,$400.00,"Tecnología, Seguridad, Vigilancia, Inalámbrica."
326,Soporte Para Laptop Ajustable,$150.00,"Tecnología, Ergonómico, Portátil, Ajustable."
327,Báscula De Cocina Digital,$150.00,"Cocina, Medición, Digital, Precisa."
328,Candado De Seguridad Con Huella Dactilar,$200.00,"Seguridad, Tecnología, Huella, Resistente."
329,Toalla Para La Cara,$70.00,"Hogar, Baño, Suave, Absorbente."
330,Porta Fruta,$25.00,"Comida, Viaje, Portatil."
331,Canasta Para Picnic Desarmable,$140.00,"Viaje, Picnic, Portátil, Práctico."
332,Set De Vasos Para Shots,$120.00,"Hogar, Bebida, Fiesta."
333,Bolsa Térmica Para Almuerzo,$80.00,"Hogar, Comida, Térmica, Portátil."
334,Tapete Para Yoga Antideslizante,$60.00,"Deporte, Yoga, Antideslizante, Cómoda."
335,Portatazas Usb,$140.00,"Hogar, Bebida, Viaje, Calor."
336,Cepillo Para Perros,$120.00,"Mascota, Cuidado, Dientes."
337,Set De Cuchillos De Chef,$250.00,"Cocina, Corte, Duradero, Afilado."
338,Pesas Para Tobillos,$130.00,"Deporte, Ajustable, Cómoda."
339,Botella De Agua Congelada De Sabor,$25.00,"Comida, Bebida, Frío."
340,Organizador De Piercings,$75.00,"Piercing, Organización."
341,Kit De Manicura,$135.00,"Belleza, Cuidado Personal, Manicura."
342,Manta De Picnic Impermeable,$100.00,"Jardin, Picnic, Impermeable, Portátil."
343,Candado De Combinación,$150.00,"Seguridad, Viaje, Combinación, Práctico."
344,Figura Decorativa De Cerámica,$100.00,"Hogar, Cerámica, Decoracion."
345,Gorro De Baño,$20.00,"Baño, Cuidado, Cómoda."
346,Cortador De Verduras En Espiral,$70.00,"Cocina, Utensilio, Saludable, Fácil De Usar."
347,Mochila De Camping,$300.00,"Deporte, Camping, Resistente, Amplia."
348,Juego De Fundas Decorativas Para Cojines,$80.00,"Hogar, Decoración, Colorido, Suave."
349,Juego De Mesa,$120.00,"Juguete, Juego, Divertido, Colorido."
350,Agujetas,$30.00,"Ropa, Colorido, Utilidad, Barato."
351,Esquimo,$35.00,"Bebida, Frio, Dulce, Delicioso."
352,Juguetes De Goma,$35.00,"Coloridos, Aplastable, Desestres, Formas."
353,Manga,$120.00,"Lectura, Comic, Japón, Hojas."
354,Chanclas,$80.00,"Comoda, Plastico, Barato, Calzado."
355,Abrigo,$200.00,"Calentar, Abrigador, Ropa, Suave."
356,Botas,$200.00,"Calzado, Resistente, Protector, Casual."
357,Libreta,$50.00,"Util, Escolar, Hojas, Colores, Creativo, Notas."
358,Aro De Luz,$140.00,"Video, Grabacion, Fotos, Estudio, Creativo, Contenido"
359,Pilas,$20.00,"Energia, Electronicos."
360,Llavero,$50.00,"Personalizado, Ligero, Compacto, Duradero, Variedad De Colores"
361,Pulsera,$80.00,"Hecha A Mano, Ajustable, Estilo Bohemio, Ligera, Combinación De Materiales"
362,Marcadores,$35.00,"Punta Fina, Colores Vibrantes, Secado Rápido, No Tóxicos, Paquete De 5 Unidades"
364,Funda Para Celular,$100.00,"Resistente, Bolsillo Para Tarjetas, Cierre Magnético, Estampado, Compatible Con Varios Modelos"
365,Mouse Inalámbrico,$120.00,"Ergonómico, Preciso, Inalámbrico, Compacto, Botones Programables"
366,Lápices De Colores,$40.00,"Madera De Calidad, Colores Surtidos, Punta Suave, No Tóxicos, Estuche Incluido"
367,Porta Tarjetas,$70.00,"Cuero Sintético, Delgado, Bolsillos Múltiples, Fácil De Llevar, Moderno"
368,Juego De Imanes,$25.00,"Potentes, Variados, Decorativos Y Funcionales, Fácil De Colocar,"
369,Espejo Compacto,$90.00,"Doble Cara, Plegable, Tamaño De Bolsillo, Ligero, Protector Incluido"
370,Pinzas Decorativas,$30.00,"Acero Inoxidable, Decoración Floral, Uso Versátil, Fácil De Sujetar"
371,Portavasos Plegable,$75.00,"Plástico Resistente, Plegable, Ligero Y Compacto, Fácil De Transportar"
372,Linterna Led,$55.00,"Pequeña Y Portátil, Brillante, Funciona Con Pilas, Botón De Encendido"
373,Libreta De Bolsillo,$85.00,"Tapa Dura, Rayada, Tamaño De Bolsillo, Ligera, Ideal Para Apuntes Rápidos"
374,Tarjetero,$65.00,"Cuero Sintético, Varios Compartimentos, Cierre Seguro, Ligero Y Compacto"
375,Cargador Portátil,$150.00,"Delgado, Alta Capacidad, Puerto Usb, Ligero Y Compacto, Indicadores Led"
376,Collar Minimalista,$110.00,"Acero Inoxidable, Sencillo, Ajustable, Ligero Y Cómodo, Elegante"
377,Organizador De Cables,$45.00,"Silicona Flexible, Reutilizable, Ordena Y Organiza Cables, Fácil De Instalar"
378,Bolsas Reutilizables,$80.00,"Tela Resistente, Lavables, Ecológicas, Fácil De Llevar, Paquete De 4 Unidades"
379,Peine Plegable,$40.00,"Resistente, Plegable, Compacto, Fácil De Llevar, Ideal Para Viajes"
380,Llavero De Cuero,$60.00,"Personalizado, Ligero, Compacto, Elegante, Cuero Genuino"
381,Pulsera De Cuentas,$70.00,"Hecha A Mano, Ajustable, Colorida, Elegante, Estilo Bohemio"
382,Marcapáginas Magnético,$30.00,"Práctico, Diseños Variados, Delgado, Ligero, Magnético"
383,Estuche De Cuero,$55.00,"Elegante, Resistente, Compacto, Cuero Sintético, Cierre Seguro"
384,Soporte Para Teléfono,$40.00,"Ajustable, Plegable, Ligero, Resistente, Múltiples Ángulos"
385,Teclado Plegable,$120.00,"Bluetooth, Plegable, Compacto, Resistente Al Agua, Batería Recargable"
386,Porta Tarjetas Metálico,$75.00,"Diseño Minimalista, Ligero, Compacto, Metálico, Fácil De Llevar"
387,Lápiz De Tinta,$20.00,"Tinta Negra, Escritura Suave, Diseño Elegante, Punta Fina, No Tóxico"
388,Tijeras Plegables,$45.00,"Plegables, Compactas, Acero Inoxidable, Seguras, Uso Versátil"
389,Espejo De Bolsillo,$50.00,"Doble Cara, Plegable, Tamaño Compacto, Ligero, Ideal Para Viajes"
390,Pinzas Para Ropa,$25.00,"Madera, Resistentes, Diseños Variados, Uso Versátil, Paquete De 10 Unidades"
391,Organizador De Escritorio,$80.00,"Madera, Espacios Múltiples, Estilo Moderno, Ligero, Fácil De Transportar"
392,Linterna Portátil Led,$65.00,"Pequeña Y Potente, Resistente Al Agua, Funciona Con Pilas, Ideal Para Camping"
393,Cuaderno De Notas,$35.00,"Tapa Dura, Hojas Rayadas, Tamaño De Bolsillo, Ligero, Ideal Para Apuntes Rápidos"
394,Porta Tarjetas Rfid,$90.00,"Protección Rfid, Cuero Sintético, Varios Compartimentos, Cierre Seguro"
395,Auriculares Inalámbricos,$130.00,"Bluetooth, Cancelación De Ruido, Cómodos, Batería De Larga Duración"
396,Collar De Perlas,$100.00,"Elegante, Perlas De Imitación, Ajustable, Ligero, Estilo Clásico"
397,Organizador De Cables,$30.00,"Silicona, Reutilizable, Ordena Y Organiza Cables, Fácil De Instalar"
398,Bolsas De Tela Reutilizables,$75.00,"Tela Resistente, Lavables, Ecológicas, Fácil De Llevar"
399,Cepillo Dental Plegable,$15.00,"Plegable, Compacto, Cerdas Suaves, Higiénico, Ideal Para Viajes"
400,Lámpara De Escritorio,$110.00,"Led, Regulable, Diseño Moderno, Bajo Consumo De Energía, Compacta"
401,Billetera De Cuero,$90.00,"Cuero Genuino, Diseño Delgado, Múltiples Compartimentos, Elegante, Resistente"
402,Juego De Velas,$40.00,"Aromáticas, Decorativas, Varios Tamaños, Duraderas, Relajantes"
403,Soporte Para Libros,$60.00,"Madera, Ajustable, Plegable, Ligero, Estilo Vintage"
404,Funda Para Tableta,$80.00,"Resistente, Bolsillo Adicional, Cierre Magnético, Diseño Estampado, Compatible Con Varios Modelos"
405,Ratón Óptico Inalámbrico,$50.00,"Diseño Ergonómico, Preciso, Inalámbrico, Compacto, Botones Programables"
406,Set De Marcadores,$35.00,"Colores Vibrantes, Punta Fina, Tinta De Secado Rápido, No Tóxicos,"
407,Organizador De Documentos,$70.00,"Cuero Sintético, Múltiples Compartimentos, Diseño Elegante, Ligero,"
408,Termo Para Bebidas,$120.00,"Acero Inoxidable, Doble Capa, Aislamiento Térmico, Tapa Hermética, Diseño Moderno"
409,Reloj Despertador,$40.00,"Digital, Alarma, Luz Nocturna, Diseño Compacto, Pilas Incluidas"
410,Bolsa Ecológica,$30.00,"Tela Resistente, Lavable, Diseños Ecológicos, Plegable, Práctica"
411,Organizador De Maquillaje,$95.00,"Acrílico, Diseño Giratorio, Múltiples Compartimentos, Fácil De Limpiar, Elegante"
412,Linterna Recargable,$55.00,"Led, Recargable, Resistente Al Agua, Varias Intensidades, Ideal Para Camping"
413,Cuaderno De Dibujo,$25.00,"Hojas De Alta Calidad, Tapa Dura, Tamaño A4, Ideal Para Dibujantes, Ligero"
414,Porta Tarjetas De Visita,$85.00,"Cuero Sintético, Varios Compartimentos, Cierre Seguro, Ligero Y Compacto"
415,Altavoz Bluetooth,$150.00,"Bluetooth, Portátil, Sonido De Alta Calidad, Batería Recargable, Diseño Moderno"
416,Collar Con Colgante,$70.00,"Acero Inoxidable, Colgante Personalizado, Ajustable, Ligero, Estilo Moderno"
417,Organizador De Cables,$25.00,"Silicona, Reutilizable, Ordena Y Organiza Cables, Fácil De Instalar"
418,Bolsas De Papel Kraft,$45.00,"Ecológicas, Resistentes, Reutilizables, Diseño Minimalista, Paquete De 10 Unidades"
419,Báscula Digital,$90.00,"Digital, Precisa, Pantalla Lcd, Diseño Delgado, Peso Máximo De 150 Kg"
420,Candelabro De Metal,$80.00,"Decorativo, Elegante, Diseño Vintage, Resistente, Fácil De Limpiar"
421,Cartera De Cuero,$100.00,"Cuero Genuino, Diseño Clásico, Múltiples Compartimentos, Elegante, Resistente"
422,Plantas Suculentas,$30.00,"Set De 3, Variados Tamaños, Decorativas, Fáciles De Cuidar, Macetas De Cerámica"
423,Organizador De Joyas,$65.00,"Terciopelo, Múltiples Compartimentos, Diseño Elegante, Compacto"
424,Mochila Antirrobo,$200.00,"Resistente Al Agua, Puerto Usb, Espacio Amplio, Compartimento Para Laptop"
425,Teclado Mecánico,$150.00,"Retroiluminado, Mecánico, Diseño Ergonómico, Compacto, Conexión Usb"
426,Set De Bolígrafos,$40.00,"Bolígrafos De Gel, Colores Surtidos, Escritura Suave, Estuche Incluido"
427,Organizador De Archivos,$55.00,"Acrílico, Múltiples Secciones, Diseño Moderno, Ligero, Fácil De Limpiar"
428,Botiquín De Primeros Auxilios,$120.00,"Completo, Compacto, Resistente, Fácil De Transportar"
429,Taza Térmica,$70.00,"Acero Inoxidable, Térmica, Tapa Hermética, Diseño Moderno, Capacidad 500 Ml"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
